Customer ID,Recency,Frequency,Monetary,Cluster
1,889,1,5148,1
2,73,6,16481,0
3,223,1,4687,2
4,442,5,7826,0
5,538,3,7681,1
6,141,8,24812,3
7,263,5,8873,0
8,26,7,16245,3
9,366,5,17620,0
10,131,8,20672,3
11,103,6,14486,0
12,322,3,8924,2
13,259,5,13798,0
14,264,3,9303,2
15,82,3,8320,2
16,105,2,5828,2
17,103,5,16485,0
18,427,1,3620,2
19,518,4,10931,0
20,77,4,17443,0
21,292,4,9867,0
22,14,3,9032,2
23,135,5,15196,0
24,468,3,9584,2
25,354,3,9876,2
26,185,2,8985,2
27,239,4,12554,0
28,816,2,6514,1
29,572,4,11954,0
30,58,3,6721,2
31,154,4,10464,0
32,1086,4,11152,1
33,487,7,24987,3
34,301,1,658,2
35,393,7,21413,3
36,26,3,7898,2
37,33,8,15557,3
38,237,3,8951,2
39,473,6,19841,3
40,278,5,13206,0
41,235,7,25741,3
42,90,3,8438,2
43,121,5,17364,0
44,69,4,11927,0
45,21,5,14197,0
46,146,6,17370,3
47,241,7,16380,3
48,25,2,7441,2
49,796,2,6868,1
50,199,4,11595,0
51,386,6,16111,0
52,83,6,15038,0
53,171,4,8902,2
54,121,4,10484,0
55,272,5,15117,0
56,540,3,8553,1
57,324,3,10782,2
58,157,3,6442,2
59,57,4,15155,0
60,293,7,18320,3
61,88,4,6388,2
62,487,3,11855,2
63,364,5,19769,0
64,707,3,6620,1
65,67,6,12404,0
66,82,4,12257,0
67,629,1,2042,1
68,836,3,10642,1
69,720,1,3715,1
70,6,8,23540,3
71,430,1,1556,2
72,166,5,10039,0
73,827,1,1236,1
74,132,5,9391,0
75,209,3,7176,2
76,103,2,8123,2
77,1308,1,3388,1
78,599,4,10920,1
79,791,3,7066,1
80,350,7,16595,3
81,347,5,12760,0
82,99,2,2606,2
83,346,6,14407,0
84,70,2,2280,2
85,254,6,16750,0
86,389,3,6518,2
87,995,1,2113,1
88,419,4,9493,0
89,2,6,14446,0
90,358,5,10792,0
91,92,3,10145,2
92,264,3,11784,2
93,298,3,10025,2
94,88,6,15378,0
95,109,3,6289,2
96,87,5,18637,0
97,234,3,6636,2
98,222,6,20950,3
99,660,3,7524,1
100,23,6,14917,0
101,137,5,17488,0
102,964,1,1259,1
103,216,5,20390,0
104,542,4,13848,0
105,215,3,6668,2
106,56,2,3532,2
107,301,4,8393,2
108,386,6,17377,0
109,321,3,13468,0
110,459,2,3078,2
111,322,5,9692,0
112,1286,1,1537,1
113,332,4,7328,2
114,695,4,10450,1
115,199,5,10299,0
116,459,2,4325,2
117,29,6,22130,3
118,213,5,13320,0
119,435,5,14993,0
120,259,4,9511,0
121,499,5,13615,0
122,142,4,14234,0
123,27,3,12829,0
124,708,2,2308,1
125,37,4,12109,0
126,614,3,12680,1
127,952,1,3872,1
128,382,2,3931,2
129,193,3,6903,2
130,165,2,7521,2
131,543,3,6306,1
132,724,2,5032,1
133,7,6,18804,3
134,245,2,4006,2
135,253,5,11343,0
136,370,7,18095,3
137,495,5,14337,0
138,232,2,2907,2
139,71,5,10240,0
140,137,3,8230,2
141,329,7,21913,3
142,466,2,4184,2
143,179,7,20403,3
144,98,5,14652,0
145,143,8,22093,3
146,794,2,9457,1
147,147,6,13799,0
149,202,4,14949,0
150,22,1,1743,2
151,67,5,5191,2
152,270,3,10286,2
153,400,6,17885,0
154,9,9,25412,3
155,29,6,17420,3
156,211,4,14945,0
157,44,5,15481,0
158,339,4,7295,2
159,83,2,3873,2
160,903,2,8840,1
161,79,3,11708,2
162,977,3,9389,1
163,644,3,7680,1
164,1005,3,4364,1
165,170,5,9997,0
166,358,6,21155,3
167,469,4,8508,2
169,177,7,15215,3
170,44,7,20676,3
171,430,1,4206,2
172,452,6,10493,0
173,453,4,12731,0
174,40,1,221,2
175,225,3,7205,2
176,17,6,9704,0
177,92,4,12377,0
178,150,8,20817,3
179,10,4,15944,0
180,61,1,473,2
181,238,2,4403,2
182,34,6,14249,0
183,263,2,1612,2
184,99,9,26985,3
185,169,7,18721,3
186,397,2,6606,2
187,544,1,2670,1
188,64,4,7701,2
189,617,2,6569,1
191,1144,1,2721,1
192,44,8,28832,3
193,733,3,7842,1
194,20,4,6449,2
195,438,3,10606,2
196,442,4,12911,0
197,182,4,10354,0
198,138,5,14183,0
199,309,5,11300,0
200,98,6,16818,0
201,1232,1,1603,1
202,505,5,10206,0
203,721,2,6342,1
204,171,11,25663,3
205,147,10,21815,3
206,34,6,18103,3
207,214,6,17290,0
208,325,6,15605,0
209,6,6,16598,0
210,20,6,17027,3
211,270,7,15458,3
212,261,4,13536,0
213,302,6,10744,0
214,206,3,11660,2
215,408,3,11263,2
216,93,5,16936,0
217,119,4,5971,2
218,753,5,10679,1
219,18,6,13360,0
220,574,2,3455,1
221,259,4,12899,0
222,140,4,10799,0
223,28,3,9076,2
224,75,5,12762,0
225,3,3,7280,2
226,42,3,11122,2
227,312,4,9489,0
228,783,2,1587,1
229,330,5,15007,0
230,44,9,27875,3
231,302,4,8281,2
232,290,6,23483,3
233,384,5,15177,0
234,65,1,1354,2
235,377,4,14572,0
236,88,10,22060,3
237,520,6,12664,0
238,27,7,21992,3
239,240,7,20511,3
240,181,4,7011,2
241,207,3,3491,2
242,161,3,5090,2
243,93,5,15742,0
244,304,7,15342,3
245,655,3,7939,1
246,115,2,6391,2
247,627,5,8715,1
248,214,5,20317,0
249,1206,1,2240,1
250,97,5,18664,0
251,71,7,22607,3
252,651,5,10043,1
253,47,8,23104,3
254,521,3,7668,2
255,660,5,12999,0
256,137,3,7389,2
257,468,3,10052,2
258,489,4,10503,0
259,190,4,17652,0
260,87,6,12523,0
261,78,7,17602,3
262,140,6,18002,3
263,71,7,19565,3
264,250,6,16971,0
265,84,5,18780,0
266,39,6,9160,0
267,26,3,9053,2
268,406,2,4649,2
269,324,4,12621,0
270,5,4,10723,0
271,56,4,15056,0
272,864,2,4708,1
273,439,4,12693,0
274,473,5,12971,0
275,28,2,3926,2
276,284,5,9196,0
277,864,2,3207,1
278,6,6,17647,3
279,350,3,2426,2
280,373,4,6214,2
281,208,2,6795,2
282,108,7,25482,3
283,774,2,6737,1
284,258,3,7773,2
285,474,5,15549,0
286,451,2,7637,2
287,888,1,2295,1
288,81,5,16691,0
289,467,4,11388,0
290,399,3,9671,2
291,253,3,9460,2
292,318,4,5470,2
293,107,5,13042,0
294,187,3,10651,2
295,122,2,2904,2
296,568,5,13236,0
297,46,9,25633,3
298,105,4,8520,2
299,513,5,17284,0
300,130,5,8379,0
301,737,2,4687,1
302,46,6,16353,0
303,170,3,9515,2
304,142,7,16462,3
305,957,2,4088,1
306,436,2,4022,2
307,865,1,4972,1
308,203,2,6248,2
309,336,2,2662,2
310,19,2,8710,2
311,399,6,13552,0
312,543,3,6864,1
313,17,7,22000,3
314,75,3,8712,2
315,127,11,32676,3
316,176,3,2748,2
317,335,2,9329,2
318,105,9,25467,3
319,593,2,5736,1
320,96,5,12356,0
321,671,3,7793,1
322,300,5,16585,0
323,247,3,7726,2
324,340,4,12477,0
325,435,6,16879,0
326,171,5,13314,0
327,43,5,15142,0
328,393,6,9666,0
329,583,5,17525,0
330,384,7,22133,3
331,295,3,10962,2
332,49,4,10783,0
333,143,4,11409,0
334,82,5,9034,0
335,135,3,13352,0
336,880,2,5454,1
337,128,3,10282,2
338,76,4,8926,2
339,152,3,10042,2
340,29,10,33669,3
341,456,4,6050,2
342,107,7,21281,3
343,527,4,10471,0
344,504,6,13231,0
345,2,6,11987,0
346,78,4,9320,0
347,162,3,13708,0
348,186,8,21480,3
349,251,3,9022,2
350,449,4,14295,0
351,238,6,11718,0
352,337,3,6959,2
353,74,7,19498,3
354,222,4,16174,0
355,285,2,5278,2
356,472,3,9216,2
357,265,5,19761,0
358,351,3,11290,2
359,220,2,10025,2
360,29,5,10562,0
361,32,3,6893,2
362,1294,1,4964,1
363,231,3,7798,2
364,86,5,11590,0
365,536,3,7992,1
366,645,1,1324,1
367,96,3,8455,2
368,1290,1,1538,1
369,89,4,12817,0
370,155,5,14147,0
371,606,3,5255,1
372,235,4,13488,0
373,1120,1,2416,1
374,212,5,16946,0
375,482,3,8136,2
376,130,7,24007,3
377,37,4,9741,0
378,742,3,10739,1
379,432,2,8858,2
380,51,4,12376,0
381,132,4,10658,0
382,82,2,4611,2
